ticker,date,close
522650.BO,2026-07-13,101.27999877929688
523019.BO,2026-07-06,16.739999771118164
523019.BO,2026-07-07,17.780000686645508
523019.BO,2026-07-08,16.799999237060547
523019.BO,2026-07-09,17.049999237060547
523019.BO,2026-07-10,17.049999237060547
523019.BO,2026-07-13,17.209999084472656
523120.BO,2026-07-06,92.02999877929688
523120.BO,2026-07-07,94.0
523120.BO,2026-07-08,88.02999877929688
523120.BO,2026-07-09,88.27999877929688
523120.BO,2026-07-10,91.9000015258789
523120.BO,2026-07-13,89.98999786376953
523232.BO,2026-07-06,79.9800033569336
523232.BO,2026-07-07,81.36000061035156
523232.BO,2026-07-08,77.73999786376953
523232.BO,2026-07-09,81.9000015258789
523232.BO,2026-07-10,82.0
523232.BO,2026-07-13,77.7699966430664
523289.BO,2026-07-06,140.8000030517578
523289.BO,2026-07-07,136.60000610351562
523289.BO,2026-07-08,142.35000610351562
523289.BO,2026-07-09,143.39999389648438
523289.BO,2026-07-10,138.35000610351562
523289.BO,2026-07-13,141.9499969482422
523519.BO,2026-07-06,9.390000343322754
523519.BO,2026-07-07,9.390000343322754
523519.BO,2026-07-08,9.390000343322754
523519.BO,2026-07-09,9.390000343322754
523519.BO,2026-07-10,9.390000343322754
523519.BO,2026-07-13,9.390000343322754
523676.BO,2026-07-06,262.3500061035156
523676.BO,2026-07-07,259.25
523676.BO,2026-07-08,246.8500061035156
523676.BO,2026-07-09,246.8999938964844
523676.BO,2026-07-10,262.25
523676.BO,2026-07-13,261.75
524136.BO,2026-07-06,293.95001220703125
524136.BO,2026-07-07,292.3500061035156
524136.BO,2026-07-08,297.45001220703125
524136.BO,2026-07-09,306.95001220703125
524136.BO,2026-07-10,312.29998779296875
524136.BO,2026-07-13,318.70001220703125
524202.BO,2026-07-06,103.0
524202.BO,2026-07-07,103.0500030517578
524202.BO,2026-07-08,102.1999969482422
524202.BO,2026-07-09,98.8000030517578
524202.BO,2026-07-10,100.0
524202.BO,2026-07-13,100.1500015258789
524204.BO,2026-07-06,116.1500015258789
524204.BO,2026-07-07,118.0
524204.BO,2026-07-08,118.0
524204.BO,2026-07-09,118.3499984741211
524204.BO,2026-07-10,122.75
524204.BO,2026-07-13,123.5999984741211
524218.BO,2026-07-06,139.0
524218.BO,2026-07-07,132.5500030517578
524218.BO,2026-07-08,129.5
524218.BO,2026-07-09,134.75
524218.BO,2026-07-10,134.75
524218.BO,2026-07-13,132.5500030517578
524434.BO,2026-07-06,9.6899995803833
524434.BO,2026-07-07,9.640000343322754
524434.BO,2026-07-08,9.449999809265137
524434.BO,2026-07-09,9.739999771118164
524434.BO,2026-07-10,9.470000267028809
524434.BO,2026-07-13,9.68000030517578
524488.BO,2026-07-06,2.220000028610229
524488.BO,2026-07-07,2.130000114440918
524488.BO,2026-07-08,2.1600000858306885
524488.BO,2026-07-09,2.140000104904175
524488.BO,2026-07-10,2.140000104904175
524488.BO,2026-07-13,2.109999895095825
524502.BO,2026-07-06,72.5
524502.BO,2026-07-07,72.5
524502.BO,2026-07-08,72.5
524502.BO,2026-07-09,71.0
524502.BO,2026-07-10,71.0
524502.BO,2026-07-13,71.0
524592.BO,2026-07-06,12.5
524592.BO,2026-07-07,12.3100004196167
